Date,Open,High,Low,Close,Adj Close,Volume
12/19/2022,383.470001,383.820007,378.279999,380.019989,374.330658,79878100
12/20/2022,379.230011,382.230011,377.850006,380.540009,374.842865,74427200
12/21/2022,383.25,387.410004,382.690002,386.230011,380.447723,78167400
12/22/2022,383.049988,386.209991,374.769989,380.720001,375.020203,100120900
12/23/2022,379.649994,383.059998,378.029999,382.910004,377.177399,59857300
12/27/2022,382.790009,383.149994,379.649994,381.399994,375.690033,51638200
12/28/2022,381.329987,383.390015,376.420013,376.660004,371.020966,70911500
12/29/2022,379.630005,384.350006,379.079987,383.440002,377.699463,66970900
12/30/2022,380.640015,382.579987,378.429993,382.429993,376.70462,84022200
1/3/2023,384.369995,386.429993,377.829987,380.820007,375.118713,74850700
1/4/2023,383.179993,385.880005,380,383.76001,378.014709,85934100
1/5/2023,381.720001,381.839996,378.76001,379.380005,373.700256,76970500
1/6/2023,382.609985,389.25,379.410004,388.079987,382.269989,104189600
1/9/2023,390.369995,393.700012,387.670013,387.859985,382.053284,73978100
1/10/2023,387.25,390.649994,386.269989,390.579987,384.732544,65358100
1/11/2023,392.230011,395.600006,391.380005,395.519989,389.598633,68881100
1/12/2023,396.670013,398.48999,392.420013,396.959991,391.017029,90157700
1/13/2023,393.619995,399.100006,393.339996,398.5,392.534027,63903900
1/17/2023,398.480011,400.230011,397.059998,397.769989,391.814911,62677300
1/18/2023,399.01001,400.119995,391.279999,391.48999,385.628937,99632300
1/19/2023,389.359985,391.079987,387.26001,388.640015,382.821625,86958900
1/20/2023,390.100006,396.040009,388.380005,395.880005,389.953217,91806400
1/23/2023,396.720001,402.649994,395.720001,400.630005,394.632111,84178800
1/24/2023,398.880005,401.149994,397.640015,400.200012,394.208557,59524900
1/25/2023,395.950012,400.700012,393.559998,400.350006,394.356323,84800300
1/26/2023,403.130005,404.920013,400.029999,404.75,398.69046,72287400
1/27/2023,403.660004,408.160004,403.440002,405.679993,399.606506,68346200
1/30/2023,402.799988,405.130005,400.279999,400.589996,394.592682,74202000
1/31/2023,401.130005,406.529999,400.769989,406.480011,400.394562,86811800
2/1/2023,405.209991,413.670013,402.350006,410.799988,404.649841,101459200
2/2/2023,414.859985,418.309998,412.880005,416.779999,410.540314,101654500
2/3/2023,411.589996,416.970001,411.089996,412.350006,406.176636,94736800
2/6/2023,409.790009,411.290009,408.100006,409.829987,403.694366,60295300
2/7/2023,408.869995,416.48999,407.570007,415.190002,408.974152,90990700
2/8/2023,413.130005,414.529999,409.929993,410.649994,404.502075,76227500
2/9/2023,414.410004,414.570007,405.809998,407.089996,400.995392,78694900
